first_host,init_llc,second_host,access,applicable,n_blocks,reps,hit_count,lookup_count,hit_over_lookup,hit_per_blk,baseline,residency,resident,final_llc
L,EM,L,R,0,1000,3,0,0,0.0,0.0,0.0,0.0,0,-
L,EM,L,W,0,1000,3,0,0,0.0,0.0,0.0,0.0,0,-
L,EM,RS,R,1,1000,3,134,2956,0.0453,0.0447,0.0085,0.0362,0,S
L,EM,RS,W,1,1000,3,86,3092,0.0278,0.0286,0.0112,0.0174,0,M
L,EM,RD,R,1,1000,3,73,3034,0.0241,0.0244,0.0187,0.0057,0,S
L,EM,RD,W,1,1000,3,204,3146,0.0648,0.068,0.0102,0.0578,0,M
L,S,L,R,0,1000,3,0,0,0.0,0.0,0.0,0.0,0,-
L,S,L,W,0,1000,3,0,0,0.0,0.0,0.0,0.0,0,-
L,S,RS,R,1,1000,3,176,2976,0.0591,0.0586,0.0149,0.0437,0,S
L,S,RS,W,1,1000,3,124,2902,0.0427,0.0412,0.0176,0.0236,0,M
L,S,RD,R,1,1000,3,56,2981,0.0188,0.0188,0.0099,0.0089,0,S
L,S,RD,W,1,1000,3,149,2765,0.0539,0.0498,0.012,0.0378,0,M
RS,EM,L,R,1,1000,3,91,2842,0.032,0.0304,0.0123,0.0181,0,S
RS,EM,L,W,1,1000,3,111,2886,0.0385,0.037,0.0143,0.0227,0,S
RS,EM,RS,R,1,1000,3,182,3095,0.0588,0.0606,0.0089,0.0517,0,S
RS,EM,RS,W,1,1000,3,94,3158,0.0298,0.0313,0.0145,0.0168,0,M
RS,EM,RD,R,1,1000,3,109,3138,0.0347,0.0365,0.0139,0.0226,0,S
RS,EM,RD,W,1,1000,3,151,2892,0.0522,0.0504,0.0105,0.0399,0,M
RS,S,L,R,1,1000,3,150,2856,0.0525,0.05,0.0097,0.0403,0,S
RS,S,L,W,1,1000,3,136,2839,0.0479,0.0452,0.0129,0.0323,0,M
RS,S,RS,R,1,1000,3,139,3021,0.046,0.0464,0.0162,0.0302,0,S
RS,S,RS,W,1,1000,3,99,2968,0.0334,0.0329,0.0112,0.0217,0,M
RS,S,RD,R,1,1000,3,154,3002,0.0513,0.0512,0.0126,0.0386,0,S
RS,S,RD,W,1,1000,3,18,3093,0.0058,0.0059,0.0118,-0.0059,0,M
RD,EM,L,R,1,1000,3,87,2970,0.0293,0.0289,0.0133,0.0156,0,S
RD,EM,L,W,1,1000,3,183,3176,0.0576,0.061,0.0073,0.0537,0,S
RD,EM,RS,R,1,1000,3,2618,2711,0.9657,0.8728,0.0068,0.866,1,E
RD,EM,RS,W,1,1000,3,2780,2965,0.9376,0.9265,0.0104,0.9161,1,M
RD,EM,RD,R,1,1000,3,3080,3143,0.98,1.0268,0.0168,1.01,1,E
RD,EM,RD,W,1,1000,3,2500,2537,0.9854,0.8332,0.0147,0.8185,1,M
RD,S,L,R,1,1000,3,60,2878,0.0208,0.0199,0.0063,0.0136,0,S
RD,S,L,W,1,1000,3,125,2799,0.0447,0.0416,0.0154,0.0262,0,M
RD,S,RS,R,1,1000,3,2794,2959,0.9442,0.9312,0.0062,0.925,1,E
RD,S,RS,W,1,1000,3,2789,2846,0.98,0.9298,0.0144,0.9154,1,M
RD,S,RD,R,1,1000,3,2532,2571,0.9848,0.8441,0.0189,0.8252,1,E
RD,S,RD,W,1,1000,3,2851,2972,0.9593,0.9504,0.017,0.9334,1,M
